ID;TTW;FeedMode;T_SP;Total Rich;Total Lean;O2 rich;CO rich;CO2 rich;NO rich;NO2 rich;NH3 rich;N2O rich;H2 rich;SO2 rich;C2H4 rich;C3H6 rich;C3H8 rich;CH4 rich;H2O rich;O2 lean;CO lean;CO2 lean;NO lean;NO2 lean;NH3 lean;N2O lean;H2 lean;SO2 lean;C2H4 lean;C3H6 lean;C3H8 lean;CH4 lean;H2O lean
113;200;3;347.62;48.48791;0;1.550129411;0.6518952;16.30470701;0.162235554;0;0;0;0;0;0;0.121396079;0;0;14.35786;0;0;0;0;0;0;0;0;0;0;0;0;0;0
114;200;3;347.62;48.47442;0;1.775438763;0.61344259;16.30075571;0.165963266;0;0;0;0;0;0;0.121133619;0;0;14.33526;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;200;3;347.94;48.49163;0;1.478553267;0.559631125;16.29545837;0.170063411;0;0;0;0;0;0;0.120873406;0;0;14.30373;0;0;0;0;0;0;0;0;0;0;0;0;0;0
116;200;3;348.26;49.41581;0;1.566624171;0.50816854;16.28960374;0.174500307;0;0;0;0;0;0;0.120799883;0;0;14.27293;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117;200;3;348.26;53.57628;0;1.605541558;0.476337473;16.28285992;0.179562429;0;0;0;0;0;0;0.120984927;0;0;14.25155;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;200;3;348.26;56.75488;0;0.216751553;0.484141084;16.27331083;0.185669164;0;0;0;0;0;0;0.121423953;0;0;14.24855;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;200;3;348.57;59.41488;0;0.244755715;0.529171504;16.2605419;0.192878015;0;0;0;0;0;0;0.121992204;0;0;14.26239;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;200;3;348.26;65.62605;0;0.2;0.59209867;16.24802265;0.200763162;0;0;0;0;0;0;0.122562794;0;0;14.28557;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;200;3;348.26;68.22977;0;0.2;0.648747134;16.23802071;0.208427298;0;0;0;0;0;0;0.12303462;0;0;14.30729;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;200;3;348.26;72.20326;0;1.605975741;0.667572563;16.22794416;0.214628326;0;0;0;0;0;0;0.123311276;0;0;14.30954;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;200;3;348.26;73.93163;0;1.337211405;0.650639595;16.21885188;0.218638594;0;0;0;0;0;0;0.12342394;0;0;14.29418;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;200;3;348.26;75.55209;0;1.123290594;0.61847745;16.21427792;0.220467193;0;0;0;0;0;0;0.123461488;0;0;14.27432;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125;200;3;348.57;75.87814;0;1.422927727;0.591810743;16.21126734;0.220405264;0;0;0;0;0;0;0.123488598;0;0;14.2584;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;200;3;348.57;75.85674;0;0;0.601804134;16.20982083;0.218784003;0;0;0;0;0;0;0.123761788;0;0;14.26247;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127;200;3;348.89;75.9107;0;0;0.665334102;16.20370316;0.215496733;0;0;0;0;0;0;0.12435996;0;0;14.29058;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128;200;3;349.21;75.95302;0;0.250338518;0.728053519;16.19692749;0.210324653;0;0;0;0;0;0;0.125000496;0;0;14.3177;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129;200;3;349.53;75.16605;0;0.2;0.765307081;16.19446148;0.203176113;0;0;0;0;0;0;0.125325731;0;0;14.33491;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;200;3;349.21;73.79488;0;1.12113448;0.771727466;16.20412745;0.193724292;0;0;0;0;0;0;0.125243186;0;0;14.34528;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131;200;3;349.53;69.28326;0;1.548235687;0.733713561;16.21260706;0.180804012;0;0;0;0;0;0;0.12476797;0;0;14.3321;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132;200;3;349.84;66.57302;0;2.572885374;0.643034651;16.22883752;0.16589621;0;0;0;0;0;0;0.123907411;0;0;14.29762;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;200;3;349.84;61.45395;0;3.197246336;0.54851869;16.20976112;0.15042968;0;0;0;0;0;0;0.122685026;0;0;14.23501;0;0;0;0;0;0;0;0;0;0;0;0;0;0
